185.129.126.25#9#2#Spamming#IR##35.6960983276,51.4230995178#12
69.61.10.203#9#4#Spamming#US#Saint Louis#38.4906997681,-90.3796005249#12
111.118.214.37#6#3#Spamming#IN##20.0,77.0#12
213.159.212.134#9#3#Spamming#RU##55.75,37.6166000366#12
103.53.41.182#6#3#Spamming#IN##20.0,77.0#12
199.180.118.142#6#4#Spamming#US#Clarks Summit#41.448600769,-75.7279968262#12
50.63.202.62#6#2#Spamming#US#Scottsdale#33.6119003296,-111.890602112#12
80.82.64.229#6#3#Spamming#NL##52.3666992188,4.90000009537#12
69.64.50.197#6#3#Spamming#US#Saint Louis#38.6311988831,-90.192199707#12
164.132.59.179#6#2#Spamming#IT##42.8333015442,12.8332996368#12
207.150.188.54#6#3#Spamming#US#Tampa#27.8866996765,-82.5117034912#12
199.241.140.145#6#2#Spamming#US#Las Vegas#36.0876998901,-115.148498535#12
23.254.204.134#6#3#Spamming#US#Tulsa#36.1553993225,-95.9938964844#12
